extinction_rate,DCorr-X_powers,DCorr-X_stds,LjungX_powers,LjungX_stds,BoxPierceX_powers,BoxPierceX_stds
0.2,0.05333333333333334,0.22469732728470287,0.06666666666666667,0.24944382578492946,0.05333333333333334,0.22469732728470287
0.225,0.09333333333333334,0.29089898972361905,0.06333333333333334,0.24356153682842083,0.06333333333333334,0.24356153682842085
0.25,0.03666666666666667,0.1879420714534727,0.03666666666666667,0.1879420714534727,0.04666666666666667,0.21092389359408498
0.275,0.04666666666666667,0.210923893594085,0.05,0.21794494717703364,0.06666666666666667,0.24944382578492946
0.3,0.04666666666666667,0.21092389359408498,0.043333333333333335,0.20360637405433932,0.05333333333333334,0.22469732728470287
0.325,0.07,0.2551470164434615,0.04,0.19595917942265426,0.04666666666666667,0.21092389359408498
0.35,0.08666666666666667,0.28134597128012256,0.05,0.21794494717703364,0.05,0.21794494717703364
0.375,0.09333333333333334,0.29089898972361905,0.07333333333333333,0.2606828639468954,0.08,0.2712931993250107
0.4,0.07,0.25514701644346144,0.06666666666666667,0.24944382578492946,0.07333333333333333,0.2606828639468954
0.425,0.07666666666666666,0.2660618140374317,0.06,0.23748684174075832,0.05,0.21794494717703364
0.45,0.06333333333333334,0.24356153682842088,0.06333333333333334,0.24356153682842085,0.06666666666666667,0.24944382578492943
0.475,0.11333333333333333,0.31699982474583305,0.08,0.2712931993250107,0.056666666666666664,0.23120457511813117
0.5,0.1,0.30000000000000004,0.06,0.23748684174075835,0.05333333333333334,0.22469732728470287
0.525,0.11,0.31288975694324034,0.05,0.21794494717703364,0.06,0.23748684174075835
0.55,0.11,0.31288975694324034,0.07,0.2551470164434615,0.07,0.25514701644346144
0.575,0.14,0.34698703145794946,0.03666666666666667,0.1879420714534727,0.03666666666666667,0.1879420714534727
0.6,0.18333333333333332,0.38693955887479664,0.09666666666666666,0.29550333707459586,0.08666666666666667,0.28134597128012256
0.625,0.21,0.4073082370883261,0.1,0.30000000000000004,0.08666666666666667,0.28134597128012256
0.65,0.19333333333333333,0.39491208585653026,0.06666666666666667,0.24944382578492943,0.07333333333333333,0.2606828639468954
0.675,0.25333333333333335,0.43492017147466905,0.09333333333333334,0.29089898972361905,0.10333333333333333,0.3043937508483963
0.7,0.2633333333333333,0.44044169749115364,0.03666666666666667,0.18794207145347266,0.04666666666666667,0.21092389359408498
0.725,0.3566666666666667,0.47901519344959775,0.07,0.25514701644346144,0.07,0.2551470164434615
0.75,0.4633333333333333,0.49865374314804406,0.05333333333333334,0.22469732728470287,0.06666666666666667,0.24944382578492946
0.775,0.45666666666666667,0.4981186828680713,0.04666666666666667,0.21092389359408498,0.06,0.23748684174075835
0.8,0.57,0.49507575177946256,0.05333333333333334,0.22469732728470287,0.04666666666666667,0.21092389359408498
0.825,0.71,0.45376205218153715,0.056666666666666664,0.23120457511813117,0.04666666666666667,0.21092389359408498
0.85,0.7666666666666667,0.4229525846816507,0.04666666666666667,0.21092389359408498,0.06333333333333334,0.24356153682842083
0.875,0.8666666666666667,0.33993463423951903,0.06,0.23748684174075835,0.05333333333333334,0.22469732728470287
0.9,0.9533333333333334,0.21092389359408498,0.06666666666666667,0.24944382578492946,0.07333333333333333,0.2606828639468954
0.925,0.9533333333333334,0.21092389359408498,0.05,0.21794494717703367,0.05333333333333334,0.22469732728470287
0.95,0.9933333333333333,0.08137703743822468,0.08333333333333333,0.2763853991962833,0.06666666666666667,0.24944382578492943
0.975,0.9966666666666667,0.05763872155263527,0.03,0.1705872210923198,0.03333333333333333,0.17950549357115012
