extinction_rate,DCorr-X_powers,DCorr-X_stds,LjungX_powers,LjungX_stds,BoxPierceX_powers,BoxPierceX_stds,MGC-X_powers,MGC-X_stds,HSIC-X_powers,HSIC-X_stds
0.2,0.0366666666666666,0.1879420714534727,0.05,0.2179449471770336,0.0666666666666666,0.2494438257849294,0.17,0.375632799419859,0.0466666666666666,0.2109238935940849
0.225,0.0866666666666666,0.2813459712801225,0.0666666666666666,0.2494438257849294,0.0566666666666666,0.2312045751181311,0.1933333333333333,0.3949120858565302,0.1,0.3
0.25,0.0533333333333333,0.2246973272847028,0.0433333333333333,0.2036063740543393,0.0333333333333333,0.1795054935711501,0.22,0.4142463035441596,0.0666666666666666,0.2494438257849294
0.275,0.07,0.2551470164434614,0.0566666666666666,0.2312045751181311,0.06,0.2374868417407583,0.2733333333333333,0.4456705310228872,0.0666666666666666,0.2494438257849294
0.3,0.0666666666666666,0.2494438257849294,0.05,0.2179449471770336,0.0466666666666666,0.2109238935940849,0.33,0.4702127178203498,0.0966666666666666,0.2955033370745958
0.325,0.0566666666666666,0.2312045751181311,0.0366666666666666,0.1879420714534726,0.0533333333333333,0.2246973272847029,0.3833333333333333,0.486198404860494,0.0833333333333333,0.2763853991962833
0.35,0.0666666666666666,0.2494438257849294,0.0533333333333333,0.2246973272847028,0.0566666666666666,0.2312045751181311,0.4266666666666667,0.4945929864264375,0.12,0.3249615361854384
0.375,0.0833333333333333,0.2763853991962833,0.08,0.2712931993250107,0.08,0.2712931993250107,0.52,0.4995998398718718,0.11,0.3128897569432403
0.4,0.0633333333333333,0.2435615368284208,0.07,0.2551470164434614,0.0666666666666666,0.2494438257849294,0.6033333333333334,0.4892057054268912,0.1433333333333333,0.3504124553849205
0.425,0.0733333333333333,0.2606828639468954,0.0466666666666666,0.2109238935940849,0.05,0.2179449471770336,0.6966666666666667,0.4596979684773712,0.1866666666666666,0.3896437118987322
0.45,0.07,0.2551470164434615,0.0666666666666666,0.2494438257849294,0.0666666666666666,0.2494438257849294,0.7533333333333333,0.4310710176087256,0.2,0.4000000000000001
0.475,0.1033333333333333,0.3043937508483963,0.0766666666666666,0.2660618140374317,0.0666666666666666,0.2494438257849294,0.7866666666666666,0.4096611065529924,0.2566666666666666,0.4367938746009253
0.5,0.0966666666666666,0.2955033370745958,0.0533333333333333,0.2246973272847028,0.05,0.2179449471770336,0.8733333333333333,0.3325991915537712,0.35,0.4769696007084728
0.525,0.1066666666666666,0.308688984074406,0.0433333333333333,0.2036063740543393,0.0566666666666666,0.2312045751181311,0.91,0.2861817604250837,0.3733333333333333,0.4836895239257882
0.55,0.12,0.3249615361854384,0.07,0.2551470164434614,0.08,0.2712931993250107,0.9133333333333332,0.2813459712801225,0.42,0.4935585071701226
0.575,0.1433333333333333,0.3504124553849205,0.0233333333333333,0.1509598916563233,0.0266666666666666,0.1611072796479276,0.9633333333333334,0.1879420714534726,0.5066666666666667,0.4999555535800713
0.6,0.1833333333333333,0.3869395588747966,0.0833333333333333,0.2763853991962833,0.0666666666666666,0.2494438257849294,0.9733333333333334,0.1611072796479276,0.5866666666666667,0.492431608336517
0.625,0.2166666666666666,0.4119735698102758,0.09,0.2861817604250837,0.09,0.2861817604250837,0.9933333333333332,0.0813770374382246,0.6633333333333333,0.4725698067187769
0.65,0.1733333333333333,0.3785351884420904,0.0733333333333333,0.2606828639468954,0.06,0.2374868417407583,0.9966666666666668,0.0576387215526352,0.7233333333333334,0.4473502232280903
0.675,0.2433333333333333,0.4290946541524634,0.1,0.3,0.1,0.3,0.9966666666666668,0.0576387215526352,0.82,0.3841874542459709
0.7,0.2633333333333333,0.4404416974911536,0.0466666666666666,0.2109238935940849,0.0566666666666666,0.2312045751181311,1.0,0.0,0.8966666666666666,0.3043937508483963
0.725,0.3466666666666667,0.4759084879353265,0.0566666666666666,0.2312045751181311,0.0566666666666666,0.2312045751181311,1.0,0.0,0.93,0.2551470164434615
0.75,0.3866666666666666,0.4869861964733246,0.04,0.1959591794226542,0.0433333333333333,0.2036063740543393,1.0,0.0,0.9566666666666668,0.2036063740543393
0.775,0.4966666666666666,0.4999888887654293,0.0566666666666666,0.2312045751181311,0.0633333333333333,0.2435615368284208,1.0,0.0,0.98,0.1399999999999999
0.8,0.5566666666666666,0.4967785108968472,0.0733333333333333,0.2606828639468954,0.0666666666666666,0.2494438257849294,1.0,0.0,0.9933333333333332,0.0813770374382246
0.825,0.6866666666666666,0.4638486343146388,0.0566666666666666,0.2312045751181312,0.0533333333333333,0.2246973272847028,1.0,0.0,1.0,0.0
0.85,0.7633333333333333,0.4250359461922668,0.06,0.2374868417407583,0.0666666666666666,0.2494438257849294,1.0,0.0,1.0,0.0
0.875,0.9,0.3,0.0533333333333333,0.2246973272847028,0.06,0.2374868417407583,1.0,0.0,1.0,0.0
0.9,0.9533333333333334,0.2109238935940849,0.1,0.3,0.0733333333333333,0.2606828639468953,1.0,0.0,1.0,0.0
0.925,0.9366666666666666,0.2435615368284208,0.0566666666666666,0.2312045751181311,0.0633333333333333,0.2435615368284208,1.0,0.0,1.0,0.0
0.95,0.99,0.099498743710662,0.0866666666666666,0.2813459712801225,0.0733333333333333,0.2606828639468954,1.0,0.0,1.0,0.0
0.975,0.99,0.0994987437106619,0.0266666666666666,0.1611072796479276,0.0333333333333333,0.1795054935711501,1.0,0.0,1.0,0.0
