ar_coeff,DCorr-X_powers,DCorr-X_stds,LjungX_powers,LjungX_stds,BoxPierceX_powers,BoxPierceX_stds,MGC-X_powers,MGC-X_stds,HSIC-X_powers,HSIC-X_stds,CCA-X_powers,CCA-X_stds
0.1,0.0566666666666666,0.2312045751181311,0.0466666666666666,0.2109238935940849,0.0433333333333333,0.2036063740543393,0.0566666666666666,0.2312045751181311,0.0433333333333333,0.2036063740543393,0.0433333333333333,0.2036063740543393
0.15,0.0566666666666666,0.2312045751181311,0.0433333333333333,0.2036063740543393,0.0633333333333333,0.2435615368284208,0.0566666666666666,0.2312045751181311,0.0433333333333333,0.2036063740543393,0.06,0.2374868417407583
0.2,0.07,0.2551470164434614,0.0733333333333333,0.2606828639468954,0.0766666666666666,0.2660618140374317,0.06,0.2374868417407583,0.06,0.2374868417407583,0.0466666666666666,0.2109238935940849
0.25,0.07,0.2551470164434615,0.0666666666666666,0.2494438257849294,0.07,0.2551470164434614,0.0633333333333333,0.2435615368284208,0.0433333333333333,0.2036063740543393,0.05,0.2179449471770336
0.3,0.05,0.2179449471770336,0.0533333333333333,0.2246973272847028,0.0466666666666666,0.2109238935940849,0.0466666666666666,0.2109238935940849,0.06,0.2374868417407583,0.06,0.2374868417407583
0.35,0.0566666666666666,0.2312045751181311,0.0333333333333333,0.1795054935711501,0.0433333333333333,0.2036063740543393,0.0433333333333333,0.2036063740543393,0.0633333333333333,0.2435615368284208,0.0633333333333333,0.2435615368284208
0.4,0.05,0.2179449471770336,0.0566666666666666,0.2312045751181311,0.0566666666666666,0.2312045751181311,0.05,0.2179449471770336,0.05,0.2179449471770336,0.06,0.2374868417407583
0.45,0.0633333333333333,0.2435615368284208,0.0533333333333333,0.2246973272847028,0.0566666666666666,0.2312045751181311,0.0533333333333333,0.2246973272847028,0.0733333333333333,0.2606828639468953,0.0533333333333333,0.2246973272847028
0.5,0.0533333333333333,0.2246973272847028,0.0533333333333333,0.2246973272847028,0.05,0.2179449471770336,0.0566666666666666,0.2312045751181311,0.06,0.2374868417407583,0.04,0.1959591794226542
0.55,0.07,0.2551470164434615,0.0633333333333333,0.2435615368284208,0.0666666666666666,0.2494438257849294,0.0833333333333333,0.2763853991962833,0.0366666666666666,0.1879420714534727,0.05,0.2179449471770336
0.6,0.05,0.2179449471770336,0.08,0.2712931993250107,0.0666666666666666,0.2494438257849294,0.05,0.2179449471770336,0.0566666666666666,0.2312045751181311,0.0733333333333333,0.2606828639468954
0.65,0.0833333333333333,0.2763853991962833,0.0633333333333333,0.2435615368284208,0.07,0.2551470164434614,0.0766666666666666,0.2660618140374317,0.03,0.1705872210923198,0.0433333333333333,0.2036063740543393
0.7,0.0733333333333333,0.2606828639468954,0.09,0.2861817604250837,0.07,0.2551470164434614,0.0733333333333333,0.2606828639468954,0.0566666666666666,0.2312045751181311,0.0666666666666666,0.2494438257849294
0.75,0.0666666666666666,0.2494438257849294,0.06,0.2374868417407583,0.0566666666666666,0.2312045751181311,0.0833333333333333,0.2763853991962833,0.0633333333333333,0.2435615368284208,0.06,0.2374868417407583
0.8,0.0666666666666666,0.2494438257849294,0.0633333333333333,0.2435615368284208,0.0633333333333333,0.2435615368284208,0.09,0.2861817604250837,0.0633333333333333,0.2435615368284208,0.05,0.2179449471770336
0.85,0.0866666666666666,0.2813459712801225,0.0766666666666666,0.2660618140374317,0.0766666666666666,0.2660618140374317,0.08,0.2712931993250107,0.06,0.2374868417407583,0.0633333333333333,0.2435615368284208
0.9,0.0833333333333333,0.2763853991962833,0.06,0.2374868417407583,0.0633333333333333,0.2435615368284208,0.07,0.2551470164434614,0.0733333333333333,0.2606828639468954,0.0633333333333333,0.2435615368284208
0.95,0.12,0.3249615361854384,0.11,0.3128897569432403,0.1333333333333333,0.339934634239519,0.1233333333333333,0.3288194371113457,0.0833333333333333,0.2763853991962833,0.0833333333333333,0.2763853991962833
