extinction_rate,HSIC-X_powers,HSIC-X_stds
0.1,0.043333333333333335,0.20360637405433937
0.15,0.043333333333333335,0.20360637405433937
0.2,0.06,0.23748684174075832
0.25,0.043333333333333335,0.20360637405433935
0.3,0.06,0.23748684174075835
0.35,0.06333333333333334,0.24356153682842085
0.4,0.05,0.21794494717703364
0.45,0.07333333333333333,0.2606828639468953
0.5,0.06,0.23748684174075835
0.55,0.03666666666666667,0.1879420714534727
0.6,0.056666666666666664,0.23120457511813117
0.65,0.03,0.1705872210923198
0.7,0.056666666666666664,0.23120457511813117
0.75,0.06333333333333334,0.24356153682842083
0.8,0.06333333333333334,0.24356153682842085
0.85,0.06,0.23748684174075835
0.9,0.07333333333333333,0.2606828639468954
0.95,0.08333333333333333,0.2763853991962833
