extinction_rate,CCA-X_powers,CCA-X_stds
0.1,0.043333333333333335,0.20360637405433937
0.15,0.06,0.23748684174075835
0.2,0.04666666666666667,0.21092389359408498
0.25,0.05,0.21794494717703364
0.3,0.06,0.23748684174075832
0.35,0.06333333333333334,0.24356153682842085
0.4,0.06,0.23748684174075835
0.45,0.05333333333333334,0.22469732728470287
0.5,0.04,0.19595917942265423
0.55,0.05,0.21794494717703364
0.6,0.07333333333333333,0.2606828639468954
0.65,0.043333333333333335,0.20360637405433932
0.7,0.06666666666666667,0.24944382578492946
0.75,0.06,0.23748684174075835
0.8,0.05,0.21794494717703367
0.85,0.06333333333333334,0.24356153682842088
0.9,0.06333333333333334,0.24356153682842088
0.95,0.08333333333333333,0.2763853991962833
